_gddid	title	year	intersection_words_lat	expected_lat	intersection_words_long	expected_long	doi	link_url
54b43266e138239d8684f177	Current perspectives on the Pleistocene archaeology of eastern Beringia	2003	[]	['67']	[]	['139']	10.1016/S0033-5894(03)00070-X	http://www.sciencedirect.com/science/article/pii/S003358940300070X
54b43269e138239d8684f969	Environmental changes during the past 2000 years in north-central Wisconsin: Analysis of pollen, charcoal, and seeds from varved lake sediments	1978	[]	['46']	[]	['89']	10.1016/0033-5894(78)90013-3	http://www.sciencedirect.com/science/article/pii/0033589478900133
55c90b5ecf58f1a8110ba793	Environmental changes on Yugorski Peninsula, Kara Sea, Russia, during the last 12,800 radiocarbon years	2001	[]	['69']	[]	['62']	10.1016/S0921-8181(01)00123-0	http://www.sciencedirect.com/science/article/pii/S0921818101001230
571e3c77cf58f16d50cfd572	Long-term drivers of change in Polylepis woodland distribution in the central Andes	2009	[]	['16']	[]	['68']	10.1111/j.1654-1103.2009.01102.x	http://doi.wiley.com/10.1111/j.1654-1103.2009.01102.x
574629c5cf58f15d3f588144	Age verification of the Lake Gribben forest bed and the Younger Dryas Advance of the Laurentide Ice Sheet	1999	[]	['46']	[]	['87']	10.1139/e98-095	http://www.nrcresearchpress.com/doi/abs/10.1139/e98-095
57487289cf58f14b28730d7e	A Late-Quaternary pollen profile from Woodstock, Ontario	1978	[]	['43']	[]	['80']	10.1139/e78-116	http://www.nrcresearchpress.com/doi/abs/10.1139/e78-116
574a2d82cf58f10ab4bdc058	Palynology and Paleoecology of Postglacial Sediments from the Lower Fraser River Canyon of British Columbia	1975	[]	['49']	[]	['121']	10.1139/e75-065	http://www.nrcresearchpress.com/doi/abs/10.1139/e75-065
574cb209cf58f101d6da792e	A late Wisconsinan Coleopterous assemblage from southern Ontario and its environmental significance	1977	[]	['44']	[]	['81']	10.1139/e77-138	http://www.nrcresearchpress.com/doi/abs/10.1139/e77-138
58333faecf58f177a7b78a4b	Mammoth (Mammuthus sp.) excavation on a college campus in Western Illinois, USA	2007	[]	['38']	[]	['90']	10.1016/j.quaint.2006.08.001	http://www.sciencedirect.com/science/article/pii/S1040618206001935
58cf14a6cf58f192745891a9	Setting Restoration Goals for an Acid and Metal-Contaminated Lake: A Paleolimnological Study of Daisy Lake (Sudbury, Canada)	1996	[]	['46']	[]	['80']	10.1080/07438149609354274	http://www.tandfonline.com/doi/abs/10.1080/07438149609354274
5a047c70cf58f1b9640296a8	Wisconsin Environment of Interior Alaska: Pollen and Macrofossil Analysis of a 27 Meter Core from the Isabella Basin (Fairbanks, Alaska)	1974	[]	['64']	[]	['147']	10.1139/e74-083	http://www.nrcresearchpress.com/doi/10.1139/e74-083
