_gddid	title	year	doi	link_url
54b43249e138239d8684a06e	Late Holocene environmental history of southern Chocó region, Pacific Colombia; sediment, diatom and pollen analysis of core El Caimito	2001	10.1016/S0031-0182(01)00322-4	http://www.sciencedirect.com/science/article/pii/S0031018201003224
54b43268e138239d8684f74a	Extinct mountain goat (Oreamnos harringtoni) in Southeastern Utah	1987	10.1016/0033-5894(87)90087-1	http://www.sciencedirect.com/science/article/pii/0033589487900871
577bdd7bcf58f15852172caa	Two Pollen Diagrams from Southeastern Minnesota: Problems in the Regional Late-Glacial and Postglacial Vegetational History	1963	10.1130/0016-7606(1963)74[1371:tpdfsm]2.0.co;2	http://dx.doi.org/10.1130/0016-7606(1963)74[1371:tpdfsm]2.0.co;2
577c5ccbcf58f190bbf052dd	Pollen, Seed, and Mollusk Analysis of a Sediment Core from Pickerel Lake, Northeastern South Dakota	1968	10.1130/0016-7606(1968)79[855:psamao]2.0.co;2	http://dx.doi.org/10.1130/0016-7606(1968)79[855:psamao]2.0.co;2
577f1d19cf58f1b946b10d8b	Diatom Succession in a Core from Pickerel Lake, Northeastern South Dakota	1972	10.1130/0016-7606(1972)83[157:dsiacf]2.0.co;2	http://dx.doi.org/10.1130/0016-7606(1972)83[157:dsiacf]2.0.co;2
5783db6ecf58f1b31f47816d	Vegetation Record for the Last 20,000 Years from a Small Marsh on Lookout Mountain, Northwestern Georgia	1975	10.1130/0016-7606(1975)86<287:vrftly>2.0.co;2	http://dx.doi.org/10.1130/0016-7606(1975)86<287:vrftly>2.0.co;2
578ab0becf58f1266e59a633	Comparative radiocarbon dating of terrestrial plant macrofossils and aquatic moss from the “ice-free corridor” of western Canada	1987	10.1130/0091-7613(1987)15<837:crdotp>2.0.co;2	http://dx.doi.org/10.1130/0091-7613(1987)15<837:crdotp>2.0.co;2
578d37a2cf58f1101ff90643	Understanding Holocene peat accumulation pattern of continental fens in western Canada	2003	10.1139/b03-016	http://www.nrcresearchpress.com/doi/abs/10.1139/b03-016
578f8510cf58f1b148e29555	Lake-sediment record of late Holocene hurricane activities from coastal Alabama	1993	10.1130/0091-7613(1993)021<0793:lsrolh>2.3.co;2	http://dx.doi.org/10.1130/0091-7613(1993)021<0793:lsrolh>2.3.co;2
57922caccf58f107ef1db6cf	Climatic effects of glacial Lake Agassiz in the midwestern United States during the last deglaciation	1997	10.1130/0091-7613(1997)025<0207:ceogla>2.3.co;2	http://dx.doi.org/10.1130/0091-7613(1997)025<0207:ceogla>2.3.co;2
57928e07cf58f133d1c26609	Timberline fluctuations and late Quaternary paleoclimates in the Southern Rocky Mountains, Colorado	1997	10.1130/0016-7606(1997)109<1306:tfalqp>2.3.co;2	http://dx.doi.org/10.1130/0016-7606(1997)109<1306:tfalqp>2.3.co;2
57c5b941cf58f1338eaddb5b	A record of sustained prehistoric and historic land use from the Cahokia region, Illinois, USA	2014	10.1130/g35541.1	http://dx.doi.org/10.1130/g35541.1
59448633cf58f12667b55b0b	An associated musk ox skeleton from saltville, Virginia	2010	10.1080/02724634.1983.10011946	http://www.tandfonline.com/doi/abs/10.1080/02724634.1983.10011946
5a2eeb04cf58f19497e44c70	Tar Trap: No Evidence of Domestic Dog Burial with “La Brea Woman”	2016	10.1179/2055557115Y.0000000011	http://www.tandfonline.com/doi/full/10.1179/2055557115Y.0000000011
